lable,text
2,who is this pointy nosed green man i hope its murdoc in disguise and not a new bloke named ace https://t.co/KxV5BjZwtH
-4,"me: some people headcanon/theorize that ronin and morro are brothers
nick: bwothers ywou say? :3c
me: what the fuck"
-1,@bitchwhtthefuc omg!!!! :D
6,vegan food looks real good
-2,living like a god damn ninja turtle
1,@TheMrZippie in the rest of that interview he goes on to say he thought robert downey jr.'s stunt double was him and addressed the stunt double as the actor right as the real robert downey jr. walked in
0,@leafduds  https://t.co/zRoJlW9X3y
2,"COLLAB x2 COMBO!
the first one has lines done by @sugarb0i and coloring done by me, the second oneâ€™s lines are done by me and coloring done by nick!! https://t.co/neqEe4mF12"
-5,thank you the mountain goats for soothing my depressed soul
0,what's your favorite part about drawing
0,me_irl https://t.co/4qQ2wNg8Tk
0,LADS https://t.co/wzm50cwFUy
-8,@ChronicHeart713 milk BY ITSELF IS FUCKIN DISGUSTING
-4,@ChronicHeart713 okay but when it comes to ice cream... bitch sign me up
1,also maybe if i spelled jeff right
6,"i just love the phrase ""jaff goldblum's #1 twink"" in reference to loki"
1,@Idkblue no THAT'S the kinda life i'm about
2,@Idkblue hell yes
-3,okay i'm over the heat when's it gonna get cold again
5,@beksdraws you are a wizard when it comes to coloring
7,@beksdraws THE COLORS ON THIS BEKS.... AMAZING!!!!
-3,"13.) recalling information in a coherent way is difficult so in the workplace, people are often confused to what i'm talking about. i'm not very good at making sales because of this."
2,"13.) writing essays has become increasingly difficult, but my strengths have flipped from english and history to math and science since being diagnosed."
-3,13.) my first semester was extremely difficult. i couldn't remember anything and i was constantly forgetting to do assignments so i made pretty bad grades.
-8,13.) schizophrenia in school/work is hard to deal with. the cognitive symptoms really take a toll. it was really hard for me in highschool and without my friend helping remember dates i probably would be making really bad grades in rn in college.
-2,i remember vividly drawing that how was that from 2015 wtf
0,charlie what
3,i wish i could draw for a livin
-4,"reporting profiles on instagram is a nightmare, i tried so hard to report an profile for posting hate but everytime i tried it would send me to the help desk to tell me how but the that just tells you to report it in the app 
but if u click spam it reports it immediately"
-7,i'm in so much pain somone come put me down
0,moodboard https://t.co/u2GRuwiXiQ
3,12.) soft things keep me from hallucinating feelings or sensations so when i sleep i like to have something soft. i also date my water bottles so that i don't drink any from a different day since someone poisoning my water bottles is a constant fear of mine.
-4,"12.) coping mechanisms! i cope by usually distracting myself 24/7. by creating stimuli, i can avoid the ones my brain creates. i usually have to have background noise as much as possible to keep myself occupied so i don't hallucinate. i sleep with headphones in and my lights on."
0,@CardboardPizzas god i sure hope so
-10,i'm so tired and in pain i wanna sleep forever
0,reaper? https://t.co/mMdRbkA8In
5,@coffee_comatose SO BEAUTIFUL
