Label,Tweet,Screen_Name,Description,User_Location,Time,Geo_Enabled,Place,Lat,Long
10,Seattle that was fun‼️ thank u👾,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/22/19 1:53,TRUE,,,
5,SEATTLE DAY/NIGHT LIVE‼️👾‼️,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 23:32,TRUE,,,
-5,@mikeywehling So gross...,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 23:27,TRUE,,,
-5,Dear musicians that put their sticker in the toilet bowl:  do you really want people pissing and shitting on your name? 🧐,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 23:23,TRUE,,,
3,WE GOIN IN‼️👾‼️ https://t.co/IVT64kO23q,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 15:31,TRUE,,,
2,@Mrjoshuahayes ‼️👾‼️,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 15:08,TRUE,,,
2,@theGnosticDemon Zzzzzzzzzzzzzz......,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 12:21,TRUE,,,
5,"Hey everybody ‼️ I’m playin in SEATTLE WA tonight at @nectarlounge ... I play at 10pm followed by the LEGEND @randomrab LETS PARTY 🎉 👾‼️ Also I will b having my spiritual advisor… https://t.co/wYRLXQUtkM",russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 10:05,TRUE,"Hillsboro, OR",45.52857116,-122.9729909
10,@broookebryan_ This is amazing😂‼️,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/21/19 11:16,TRUE,,,
8,@AmbzWenz Glad u enjoyed! Thanks for getting down with meeeee✅👾✅,russliquid,Eclectric EP out now!! https://t.co/1WwJmnLKdy 👾🎶👾 home of THE RUSS LIQUID TEST👾👾booking: landerson@paradigmagency.com mrunner@paradigmagency.com,"New Orleans, LA",2/19/19 12:45,TRUE,,,
