Username,Text
Suns_champion,"@AthensArcana I have been diagnosed with Anxiety, but no Dr but one when I first got y own DR even mentioned it as… https://t.co/3oJIPABYyi"
paul_tvrs,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Mandy_59100,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
liemhurle,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
nightlosemymind,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Trashhqueeen,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Haugtcxt,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
acediatristitia,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
voluptum,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
PUREADAMANTIN,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Randalicioush,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
baptismboy,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
lucierozat_,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
mathieu__dc,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
aamreaa,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Rosemiiie,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
poussieredeciel,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
AllanBrb,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Luxen30,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
AnaisBgd,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
filleauxcactus,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
shverxn,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
MediStudyQween,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
getmattyy,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
ccjesuisleo,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
iotasm,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
gaudiumxm,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Tefou__,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
stlandtheburger,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
COLDHRTS,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Flo_dzz,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
acciocasey,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
dexthritter,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
blastwood707,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
Itnxvxrends,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
liabricot,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
HHuugz,"RT @arch4nge: Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depression at…"
arch4nge,"Name : Raphael 

Age : 18 

After being bullied in middle school, i have been diagnosed with anxiety, ADHD and depr… https://t.co/G0XEorFZJY"
shanespookybois,"i get that we all have stuff going on in our lives, and i'm not saying ""just choose to be happy!"" bc spoiler alert,… https://t.co/TXk9AzCvAS"
AnaSofaKingCoo,"And I have been diagnosed with depression, anxiety &amp; a mood disorder. I’ve been prescribed medicine but it doesn’t work for me"
JenniferSays291,I have been diagnosed with Depression and Anxiety but I’m not taking any medication for it. The only meds I’m on ar… https://t.co/Zv9rdLaUWF
TheStarWeaver,"@Naedox Hmm :o if you wanna look into it i mean therapy is a thing, i have been diagnosed with depression,Anxiety,S… https://t.co/RfHcR1WNJ2"
sk8_4_life943,"So! For those who don’t know, I have been diagnosed with depression &amp; anxiety. Lately I’ve been pretty bad, so I th… https://t.co/BaRfZrPUnk"
eannbenton,"@nori_112 Pretty sure mine are hormonal...but I have been diagnosed with depression and anxiety, so it could be tha… https://t.co/qcHthBCSXT"
oxygenthepoet,The abnormal has long been becoming the norm. We need to pray. We need to support. We need to love. I have been dia… https://t.co/5osOluNpeN
Kenata88,"@Toad22484 Thank you Toad, I have been diagnosed with PTSD and severe anxiety and I try VERY hard to never let that… https://t.co/c9TQIAYWdJ"
modestproposal,@robstunkist I have been diagnosed with PTSD from how triggered I am.
