Username,Text
chloeameyx,@emmablackery I’m working so hard in therapy currently to try and improve my anxiety before October - I was diagnos… https://t.co/MuUIdQIBQd
FTSImKMSing,RT @jaaydollass: to be almost eighteen years old &amp; have to deal with nightmares because you have been diagnosed with depression &amp; anxiety .…
jaaydollass,to be almost eighteen years old &amp; have to deal with nightmares because you have been diagnosed with depression &amp; an… https://t.co/C9sPSyfEB0
pastelaribb,@moonrivergrande I havent been diagnosed with anxiety but I honestly feel like I may have it
fooddontlie,RT @NarryvsLilo: I have been diagnosed with severe anxiety  and I’m excited to announce that I have created a GoFundMe to help with with th…
thot_scotch,"And as someone who has also been diagnosed with clinical depression and generalized anxiety disorder, seeing someon… https://t.co/FZPIhrczqS"
jaclynasiegel,"I am a PhD student. I have been diagnosed with generalized anxiety disorder, anorexia nervosa and trichotillomania.… https://t.co/pF5IALVAgt"
Azure_Husky,"@pupbii Hi!!! So, I got diagnosed with Generalized Anxiety Disorder when I was 17, so have been dealing with it for… https://t.co/4yaj5Yqp9f"
IamTehEvilOne,"@matthaig1 Plus I have been diagnosed with depression and anxiety. Finally found a medication, thanks to my wonderf… https://t.co/zW1wY3IGEg"
AlwaysAidanYT,"some of you are wondering why and here is a quick answer.

i have been diagnosed with severe/extreme OCD which make… https://t.co/GxQw83UDa8"
CKop2480,"@wilw When I was diagnosed with depression and anxiety I actually felt relief- knowing I wasn’t crazy, there is a l… https://t.co/NoKowluf4o"
_Lady_Gold_,"I have been diagnosed with BPD, Bipolar disorder, severe anxiety, ptsd, etc etc etc. 
I’ve felt more pain in my min… https://t.co/DMHwYemdJT"
WeAllFaulter,"RT @oystersearrings: RT🔒Maho Kurone has been diagnosed with an anxiety disorder and will be out of action for a while.

I’m sure everyone m…"
oystersearrings,"RT🔒Maho Kurone has been diagnosed with an anxiety disorder and will be out of action for a while.

I’m sure everyon… https://t.co/t9airC7mjQ"
lizedxn,"So after nearly 2 years of been too scared to talk about mental illness, I’ve been finally diagnosed with depressio… https://t.co/JStQBaLcQh"
liiiines,Why was I timed out in your chat for having an opinion? I myself have been diagnosed with severe depression and it'… https://t.co/caRbVNCBZS
FTSImKMSing,RT @jaaydollass: to be almost eighteen years old &amp; have to deal with nightmares because you have been diagnosed with depression &amp; anxiety .…
jaaydollass,to be almost eighteen years old &amp; have to deal with nightmares because you have been diagnosed with depression &amp; an… https://t.co/C9sPSyfEB0
_DaintyHeart,"I recently got diagnosed with bipolar, which is something I didn’t have before my pregnancy. And this has been one… https://t.co/ZWd1doQCPx"
thot_scotch,"And as someone who has also been diagnosed with clinical depression and generalized anxiety disorder, seeing someon… https://t.co/FZPIhrczqS"
hybotics,@KieranRose7 @tanurai Wow. I really do not even know what to say to this. I have seen many of the things you descri… https://t.co/O1PqjulhRN
Sbuda_MoLife,"@Iamanttonet @She_is_yandi I have been diagnosed with depression, I got the scars. I survive on urbanol, antidepres… https://t.co/899lftwn5k"
ProgresssYT,@KHOKH69 In my video on my channel I do show a clip where Alex clearly states he does not have depression and he ha… https://t.co/jepkDVX7Cw
DARlUSTHEGOAT,RT @__CallMeDeezy: Anyone have any personal experiences with depression? I have a close loved one who has been diagnosed and I’m so exhaust…
IsadoraBriony,RT @__CallMeDeezy: Anyone have any personal experiences with depression? I have a close loved one who has been diagnosed and I’m so exhaust…
__CallMeDeezy,Anyone have any personal experiences with depression? I have a close loved one who has been diagnosed and I’m so ex… https://t.co/T0vKHsZezz
IamTehEvilOne,"@matthaig1 Plus I have been diagnosed with depression and anxiety. Finally found a medication, thanks to my wonderf… https://t.co/zW1wY3IGEg"
sa_chans,"@AlexAllTimeLow I have the abc's of mental illness (OCD, GAD, PTSD, and then depression) and I think that it's beco… https://t.co/PDY9ut6ilI"
cutietadashi,@RANPOASF Dude my mom just told me a few days ago that I choose to feel like this...... after I’ve been diagnosed w… https://t.co/vwh1YJFI0j
CKop2480,"@wilw When I was diagnosed with depression and anxiety I actually felt relief- knowing I wasn’t crazy, there is a l… https://t.co/NoKowluf4o"
surrfbortt,I've been diagnosed since I was 11 but struggled with dep&amp; anxiety long before that &amp;some of the same people who bu… https://t.co/fAfX4GvhiK
Karystrower3,@ddlovato I have been diagnosed with bipolar. And struggling to find ways of coping. Any ideas I do listen to your music.
enfantdeluna,"@brownandbella @bbzaftig Smh I have a lot of issues now because of the way my diagnosed bipolar mother, mentally an… https://t.co/aMMYs4z7ql"
Rapieress,"@FancyKats @Rosie Shelley, you may be a bot or part of the undercurrent to divide America, but I do not like mob me… https://t.co/wrMG7edMNM"
_DaintyHeart,"I recently got diagnosed with bipolar, which is something I didn’t have before my pregnancy. And this has been one… https://t.co/ZWd1doQCPx"
Diana85781202,I talk to myself cuz ONE have been diagnosed with bipolar and schizophrenia and TWO am under a witch spell which ma… https://t.co/CvgyFIw6gP
EXPENSIVEHOWELL,"people say their moods are “bipolar” - “we break up and make up, we’re bipolar” “i have a bipolar relationship with… https://t.co/aD7x6KOWFq"
_Lady_Gold_,"I have been diagnosed with BPD, Bipolar disorder, severe anxiety, ptsd, etc etc etc. 
I’ve felt more pain in my min… https://t.co/DMHwYemdJT"
ptoshaug91,"@BaphomentButt I'm not too well informed on Kanye's personal life, but there have been many rumours of Kanye West b… https://t.co/gcNBSCuAxg"
clownandi,RT @ToadChaos: @clownandi @KellKe11 I would argue that those with Bipolar who are successful have either hidden their chaos better or have…
ToadChaos,@clownandi @KellKe11 I would argue that those with Bipolar who are successful have either hidden their chaos better… https://t.co/qQl3B9d5j0
imquitegood,"RT @imquitegood: #BeBraveShareYourStory
Okay, so:
I have very severe mental health issues. 
I was diagnosed with bipolar years back, and BP…"
AlexzanderGore,Fun Fact: today yuh boi has been professionally diagnosed with bipolar disorder. That makes it like 6 mental illnes… https://t.co/Skis2Ueuot
KidarWolf,Asking for myself: any bipolar folks able to chat with me about mania and hypomania? I have had concerns for years… https://t.co/ucTFyjXjUW
absrdNEWS,RT @HappilyKim: I used drugs until I was 41 n got diagnosed with ADD/bipolar/anxiety/clinical depression.  I have a cornucopia of mental co…
HashtagShowcase,RT @HappilyKim: I used drugs until I was 41 n got diagnosed with ADD/bipolar/anxiety/clinical depression.  I have a cornucopia of mental co…
Diana85781202,I talk to myself cuz ONE have been diagnosed with bipolar and schizophrenia and TWO am under a witch spell which ma… https://t.co/CvgyFIw6gP
LyzziLuhv,"@PatrickStump I wanted to let you know I’m sorry for the email, I have been diagnosed with schizophrenia since the… https://t.co/n7w3CXpLzA"
WVUCavalier,"Fuck you, @jimmykimmel. I have been diagnosed with schizophrenia (a serious mental illnesses) and I don’t tweet rac… https://t.co/s4euyADXD9"
BonesRebellion,Thank fucking Christ I have not been diagnosed with schizophrenia.
natterlyk,@Kim_erley98 @nolithapieterse @eNCA @maggsonmedia Oh and don't tell people what they've been diagnosed with. How wo… https://t.co/j55f6DZMkQ
ALMentalHealth,#mhm2018: I have been diagnosed with paranoid schizophrenia. It took me awhile to realize that I had an illness bec… https://t.co/lMIKCkPgSB
ALMentalHealth,"#mhm2018: I was diagnosed with ""childhood schizophrenia"" when I was 13 years old. I am now 59 years old and have be… https://t.co/CgGZoJGaW7"
dfkgjl,"@SaRaAshcraft I have never been hypnotized, but I've been diagnosed with schizophrenia, false memory syndrome and P… https://t.co/HmHSMGvPMZ"
LoreUpstate,@davidsonsource Your story hit a special place in my heart. My husband of 35 years was diagnosed with schizophrenia… https://t.co/XNspKtZa1V
HaleyTursiJones,"RT @transphilosophr: I could have stayed quiet about my mental health but I think it's important to try and end the stigma. ""Thought leader…"
Xenophobic_pot,"@ArtsyRizzo I have actually been diagnosed with major depressive disorder, with post-traumatic stress disorder (PTS… https://t.co/xPOe7bTGMB"
sa_chans,"@AlexAllTimeLow I have the abc's of mental illness (OCD, GAD, PTSD, and then depression) and I think that it's beco… https://t.co/PDY9ut6ilI"
Xenophobic_pot,"@ArtsyRizzo I have actually been diagnosed with major depressive disorder, with post-traumatic stress disorder (PTS… https://t.co/xPOe7bTGMB"
ohshitshinoda,"I just wanna say that because of all the bullying lately, I have been diagnosed with PTSD. I’m really ashamed that… https://t.co/WtDzIGwcXu"
_Lady_Gold_,"I have been diagnosed with BPD, Bipolar disorder, severe anxiety, ptsd, etc etc etc. 
I’ve felt more pain in my min… https://t.co/DMHwYemdJT"
cloudfollower1,"RT @jennfel: I developed Anorexia, 6 years ago, which I am still battling. I have been diagnosed with PTSD with dissociative episodes due t…"
Agizo_Jay,"RT @jennfel: I developed Anorexia, 6 years ago, which I am still battling. I have been diagnosed with PTSD with dissociative episodes due t…"
Write2Fite,"RT @jennfel: I developed Anorexia, 6 years ago, which I am still battling. I have been diagnosed with PTSD with dissociative episodes due t…"
MediciSusan,@Sky_Tags I was diagnosed with #ptsd in 2003 and since then most of the time I’ve been okay - but I have to say som… https://t.co/v7TraPFdis
ShutUpAmanda,"RT @jennfel: I developed Anorexia, 6 years ago, which I am still battling. I have been diagnosed with PTSD with dissociative episodes due t…"
jennfel,"I developed Anorexia, 6 years ago, which I am still battling. I have been diagnosed with PTSD with dissociative epi… https://t.co/uxmE3T0qsL"
ven0m____,"@OhhSarin I was diagnosed with bi polar d/o, mdd, gad, social anxiety, and ptsd. Some days are worse than others bu… https://t.co/U5JSg2O6OO"
MinnieKookies,I am not ashamed to say. I have been diagnosed with PTSD. Anxiety. As well as Depression. I am dealing with this il… https://t.co/D52PPvQyFE
the1nutwonder,Since #cancer I have been told I show signs of moderate to severe #PTSD What makes it worse for people like me is s… https://t.co/eWUzIzSiAg
BodiesTheBook,I've been a part of a Yale longitudinal study since 1986. Back in '06 I had an hours long session of tests and inte… https://t.co/1CJO3SqKqp
dfkgjl,"@SaRaAshcraft I have never been hypnotized, but I've been diagnosed with schizophrenia, false memory syndrome and P… https://t.co/HmHSMGvPMZ"
TheFoofinator,I always wondered if I shoulda been diagnosed with ADHD because my lil bro is and I'm watching him have identical i… https://t.co/Ho5wfb1W1I
Harodl9,@Curt_Shilling I'm one of the lucky few who have been diagnosed with Adult ADHD and have had a prescription for Dex… https://t.co/yHwyQ0cq0H
julias_friends,RT @DewMan001: Oh and I've also been placed on the Autism ADHD spectrum. I too have been diagnosed with the syndrome formerly known as Aspe…
DewMan001,Oh and I've also been placed on the Autism ADHD spectrum. I too have been diagnosed with the syndrome formerly know… https://t.co/1Ge2ZHUuZq
Dizzybtake2,@harryredfern Iv had this with autism. Been left in limbo over whether I have it or not. And I hate it. I wish I kn… https://t.co/z4qPkaNh7R
nonBPDspouse,"RT @tarsusfour: I've been diagnosed with bipolar disorder, borderline personality disorder, panic disorder, have multiple phobias and ADHD.…"
tarsusfour,"I've been diagnosed with bipolar disorder, borderline personality disorder, panic disorder, have multiple phobias a… https://t.co/5J5Nh1MXNO"
ruththemaster,"@jimmykimmel @therealroseanne Bitch over the last 5 years I’ve been diagnosed with ADHD, clinical depression, gener… https://t.co/jGCv6dD7XZ"
nickystar911,"@Jonny_Clash81 I have also been diagnosed with anxiety - I am no shrink but isn't mild anxiety within all of us, is… https://t.co/8sFojh0Sev"
skullmonkey7735,@robertwood2005 😂😂😂 You're Lucky your not a kid growing up in these times Bob!! You'd have been diagnosed as having… https://t.co/KOnfrxzH4Q
RobynMcCue,@sallybrealey @RobBaskind It's been 3 yrs since I was diagnosed. I still struggle with it everyday. When I read abo… https://t.co/oldSIc20Il
the1nutwonder,Since #cancer I have been told I show signs of moderate to severe #PTSD What makes it worse for people like me is s… https://t.co/eWUzIzSiAg
sallybrealey,@bbc5live @ADHDAction @MichelleBeckett I have recently been diagnosed with ADHD at 37. I wasn’t naughty in school i… https://t.co/cVfsz66hLm
lbrown25124,Different things. My own family likes to sweep these things under the rug as though I haven’t been diagnosed with c… https://t.co/em4nhYWjvl
SaynorYoung,"@ADHDcampaign He didn’t refuse, but made it very clear to me he didn’t feel it was ADHD, he also stated this in his… https://t.co/aENaO8pwhY"
leathershirts,Sometimes when i’m sad i listen to bubbly by colbie callait and then i feel better
theyearofelan,I like to dance when it isn’t time to dance. I like dancing in the shower or in the kitchen. I like dancing when pe… https://t.co/9WBQf8iEKm
carolinemarcus,"Sorry, I know it’s cool to be snarky on here, especially about this. But I just feel sad. Sad for Natalie, for Bana… https://t.co/WVKxRpBX3D"
SantiagoShaula8,"RT @ClarkOche: Okay untag naay maka ingun natog,

“I appreciate you”
“Proud ko sa imo”
“I trust you”
“Pag amping ha”
“Love taka”

Ma feel s…"
maemaristel,Oh my gosh i want to feel something too i want to feel sad and annoyed na klase na toms but i really can't I HAVE B… https://t.co/SfcmS7OdsC
hiyunas,RT @8bitfiction: idle sundays make me sad bc memories but working stresses me out bc i cant think straight sometimes but not being producti…
nicholasram91,"RT @sianlee_: “i feel sorry for you because you have a man during vacation”
honey just because your relationships are sad, lonely, unsatisf…"
taeipurpleu,RT @taekiminssi: @snowberrytae @BTS_twt He started to change his hairstyle!  He who doesn't usually care about what people say about him. I…
ProudGujjju,"@PiyushGoyal Sir, let me tell you i travelled through Ahmedabad Delhi Rajdhani express recently &amp; i feel sad to inf… https://t.co/ty1Koq9ijQ"
cbxtape,plsss i'm so sad taes mullet suits him so much and it makes him happy i hate people who are making him feel self conscious about it
bhxcyphers,"to all my mutuals, if you feel sad, if you feel happy, if you feel down, if you feel depressed, if you feel stresse… https://t.co/hNastcfHqC"
davrosz,@Palma5 It's a sad part of my job that I feel I need to watch many things I'd much prefer to ignore.
jermaine,"Good morning everyone! 

trying to feel cheerful but I’m feeling very sad rn. 

Heading back home now.  But really who cares?"
JohnRCM,RT @Broken_Zipper: Sometimes I feel sad that English has abandoned the letters þ (thorn) and ð (eth) -- our orthography would be so much cl…
LaufeyyStark,"Y'ALL my tweets are of 13 reasons why if you are feeling sad please mute me , because I don't wanna make anyone feel down by my tweets."
AndreaRussett,i feel dumb for tweeting about being depressed but i also think about how i wish someone would’ve tweeted out about… https://t.co/mZFWnTsY9C
catxshawn,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
Poemsweb,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
BlckBubbles2,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
OceanTraveI,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
Thedeepxsnaps,RT @sarahrhfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
Purepupper,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
sarahrhfit,I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovere… https://t.co/9oEcGBQcWR
FitivationaI,RT @sarahllfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
DiyNaiIs,RT @sarahfhfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
Bestloveporn,RT @sarahrhfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
bhxcyphers,"to all my mutuals, if you feel sad, if you feel happy, if you feel down, if you feel depressed, if you feel stresse… https://t.co/hNastcfHqC"
Promisefact_01,RT @sarahrhfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
itsgirlstruggle,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
space_porns,RT @sarahedfit: I remember being depressed every summer because I hated the way I looked and felt in bathing suit. When I discovered this t…
itserinorias,perhaps i should just cry about every single mishap and mistake and failure in my life. i say i dont care and i say… https://t.co/9d60w7t9tS
shiesaq,RT @8bitfiction: perhaps i should just cry about every single mishap and mistake and failure in my life. i say i dont care and i say ive le…
BLK_C00PERATION,"RT @Tay_lenn: An alcoholic is an alcoholic. No matter how high-functioning you are, you all have the same chances of liver failure and fami…"
IsraelRue,RT @PatsonDzamara: We travelled to Masasa in Chikomba today for a rally. Thank u Mash East. All my life I v never driven on a bad road as t…
JayJayVaisey,@Toby_Kingslea Look Toby. I know my life is a bit unconventional and usually full of failure... but I’d prefer it i… https://t.co/YTkKldDntL
jhwasc,"@fattygingervamp Oh love, you're not a failure. A failure would have run away and not given her son the best chance… https://t.co/YtkM0f2osD"
Leylaagreen,"RT @Tay_lenn: An alcoholic is an alcoholic. No matter how high-functioning you are, you all have the same chances of liver failure and fami…"
Tay_lenn,"An alcoholic is an alcoholic. No matter how high-functioning you are, you all have the same chances of liver failur… https://t.co/cFCjmhrj1V"
