zangerdanger,"10.) i have only been diagnosed with depression, anxiety, and schizophrenia and most people with schizophrenia have‰Û_ https://t.co/rb0iYqt4Yi",1
R2D1ck2,A few weeks ago I was diagnosed with Bipolar II syndrome. I‰Ûªve made such great progress being in control of my emot‰Û_ https://t.co/MeXc6GG2zM,1
AIIStarBacon,About a month ago I got a year off of self harm. One of the hardest babes I have ever broken due to how little self‰Û_ https://t.co/B6hGVQaW8Z,1
Kyashi_Cosplay,"Although I have never been diagnosed, I have suffered with depression and anxiety symptoms due to my Fibromyalgia.‰Û_ https://t.co/QHiAYpEFK3",1
Froymyjoy,Hey guys I know most of y‰Ûªall won‰Ûªt care but I just want you guys to know that the reason I‰Ûªve been so mia is becau‰Û_ https://t.co/ImJTsENa9V,1
aloofloofah,"I was diagnosed with bipolar 1 in 2012 and my life has forever been different, mostly for the worse. You don't know‰Û_ https://t.co/InEdDcweDU",1
bethwithanf_,I will never not share my story in the hopes that it will help even just one person struggling. I was diagnosed wit‰Û_ https://t.co/ed3ZzFe0cV,1
JWebbConsulting,It's #MentalHealthAwarenessWeek. I wonder what West Sussex Schools are doing to support their pupils who have been‰Û_ https://t.co/5wop3dELBV,1
toxidlotus,"It's weird. Since 16 I've been diagnosed with major depression, PTSD, social anxiety and agoraphobia. Those diagnos‰Û_ https://t.co/k1nnPDRii1",1
toxidlotus,"It's weird. Since 16 I've been diagnosed with major depression, PTSD, social anxiety and agoraphobia. Those diagnos‰Û_ https://t.co/k1nnPDRii1",1
Sandford_Police,It‰Ûªs  #mentalhealthawarenessweek2018 My regular followers might know that I have my moments. I‰Ûªve just been diagnos‰Û_ https://t.co/guNMoCsbJt,1
xo_roni_yt,it‰Ûªs so hard not to be sad like i don‰Ûªt know how else to be. it‰Ûªs not like i‰Ûªm choosing it either but i just don‰Ûªt‰Û_ https://t.co/sY2oRq3kL2,1
saveyoursellf,"This is inspiring, I too also have been battling anxiety, depression and was recently diagnosed with ptsd. I was ac‰Û_ https://t.co/9peFpAs1mt",1
rstar_ashwin,"RT @HealthyValleys: ""I was diagnosed with PTSD and severe anxiety, I got referred to Grassroots and its been amazing!  Me and my sons get o‰Û_",0
HealthyValleys,"""I was diagnosed with PTSD and severe anxiety, I got referred to Grassroots and its been amazing!  Me and my sons g‰Û_ https://t.co/nVDqkl82IC",0
amy_blodgett,"@AriWRees I was diagnosed with severe depression with anxiety in my 20s, but it's been with me since childhood. I'v‰Û_ https://t.co/kXNbs60dNo",0
Kenata88,"@Toad22484 Thank you Toad, I have been diagnosed with PTSD and severe anxiety and I try VERY hard to never let that‰Û_ https://t.co/c9TQIAYWdJ",0
LadyFriday,"KIDNEY PROBLEMS: Criticism, disappointment, failure. Shame. Reacting like a little kid.
Affirmation: [Divine] Right‰Û_ https://t.co/A81Tyh1i9H",0
jwdsk4eva,Nearly all the woman in my family have been diagnosed with some form of depression. I have hormonal depression whic‰Û_ https://t.co/EDvdkkTC3u,0
rswatsonesq,RT @Fluentsynth: It's #MentalHealthMonth so I'm going to be transparent with y'all: I was diagnosed with depression and anxiety. As much as‰Û_,0
Username,Text,
spacepiece,"-Problem:
Kidney Problems
-Cause:
Criticism, disappointment, failure. Shame. Reacting like a child. 
-Affirmation‰Û_ https://t.co/LxCKN0KZP7",
NHSOrganDonor,"""I feel lonely.""
The wait for a lifesaving transplant - few people can know what it's like.
#HeartTransplant. https://t.co/AWDNpIf73N",
HealthyValleys,"""I was diagnosed with PTSD and severe anxiety, I got referred to Grassroots and its been amazing!  Me and my sons g‰Û_ https://t.co/nVDqkl82IC",
