Tweet_ID,Time,Tweet
1067679835986649088,2018-11-28 07:21:24,b'@LTMANJEET Hi! Appreciate you reaching out to us regarding your query related to network. I have registered a Servi https://t.co/6zdaYBHGpi'
1067679988575539200,2018-11-28 07:22:00,"b""@harringtonflash I'm sorry for the delay in replying, as you can understand we are very busy at this time of year. https://t.co/oksHWq1bdI"""
1067680204619952128,2018-11-28 07:22:51,"b'@flukypunditry Hi Fluky, \nOur organization is very transparent &amp; we charge brokerage as per the SEBI guidelines. Re https://t.co/PKojxeoQYN'"
1067680883321315333,2018-11-28 07:25:33,b'@soumssr Hi! Please DM us your registered contact details and query so that we can assist your better.\nAwaiting you https://t.co/bX5KmzdOHy'
1067681120429400065,2018-11-28 07:26:30,b'@ConfickerP We have forwarded your query to the concerned team for resolution and they shall revert to you within 72 hours.'
1067681513574096896,2018-11-28 07:28:04,"b'@duffikins @Zomato @ZomatoIN Hi Shrenik, please share your contact details so that we can get in touch with you ton resolve your query.\n~Lee'"
1067681780113842176,2018-11-28 07:29:07,"b'@AndreiTodorov Unless you do HDL, then all the way to page 3 as acceptable...and 5 variations to your Google query..'"
1067681808249180160,2018-11-28 07:29:14,"b'@odhisse Hi, please share your number we call back to understand better the query for a comprehensive response.^JU'"
1067681947999031296,2018-11-28 07:29:47,"b'@soumssr Hi, you are important to us. Please elaborate your concern along with your Query Reference Number or Order https://t.co/po1naRThFI'"
1067682474350837760,2018-11-28 07:31:53,b'@Ashwinsampathk @daksinvrindavan Your thought is very noble. I would like to make a donation. Just a query. How muc https://t.co/hptZRUW7xc'
