Tweet_ID,Time,Tweet
1067725417757335552,2018-11-28 10:22:31,b'RT @NASA: Goosebumps felt around (and off) the world as a congratulatory kudos comes in from the @Space_Station crew to the JPL crew for a\xe2\x80\xa6'
Tweet_ID,Time,Tweet
1067723566295134208,2018-11-28 10:15:10,"b'RT @NASA: Our Mars Odyssey orbiter phoned home, relaying news from @NASAInSight indicating its solar panels are open &amp; collecting sunlight\xe2\x80\xa6'"
1067720564570124291,2018-11-28 10:03:14,b'RT @NASA: Mars has just received its newest robotic resident. Our @NASAInSight successfully touched down on the surface of the Red Planet y\xe2\x80\xa6'
1067720553362939906,2018-11-28 10:03:11,"b'RT @NASA: Landing on Mars is challenging! But, we successfully landed on the Red Planet for the eighth time in human history after @NASAInS\xe2\x80\xa6'"
1067717484176797697,2018-11-28 09:51:00,b'RT @JimBridenstine: BREAKING: We are announcing new Moon partnerships with American companies at 2pm ET this Thursday. The U.S. is returnin\xe2\x80\xa6'
1067716852934004737,2018-11-28 09:48:29,"b'RT @NASA: Lucy in the Sky with\xe2\x80\xa6asteroids! Launching in Oct. 2021, the Lucy spacecraft will fly by more targets in different orbits around t\xe2\x80\xa6'"
1067715308368982017,2018-11-28 09:42:21,"b'RT @GoogleAI: In collaboration with the MARCO initiative (https://t.co/7CcHmAvJe0), we customized deep convolutional networks to achieve an\xe2\x80\xa6'"
1067715289293312000,2018-11-28 09:42:16,b'RT @GoogleAI: An update to our open source object detection system is now available including for mobile and a new tutorial! Learn more abo\xe2\x80\xa6'
1067712978705776640,2018-11-28 09:33:05,"b""RT @GoogleAI: Check out Universal Transformers, new research from the Google Brain team &amp; @DeepMindAI that extends last year's Transformer\xe2\x80\xa6"""
1067712662358749184,2018-11-28 09:31:50,"b""RT @GoogleAI: Today, we're launching multilingual support for the Google Assistant, which enables users to jump between two different langu\xe2\x80\xa6"""
1067712622701686784,2018-11-28 09:31:41,b'RT @GoogleAI: We\xe2\x80\x99re excited that Google Research Scientist Maya Gupta is being featured as one of the women changing the world with Science\xe2\x80\xa6'
1067707021804232705,2018-11-28 09:09:25,"b'RT @GoogleAI: Check out Fluid Annotation, an exploratory machine learning\xe2\x80\x93powered interface for annotating the class label and outline of e\xe2\x80\xa6'"
1067707010148261888,2018-11-28 09:09:22,b'RT @GoogleAI: We\xe2\x80\x99re working with @NOAA and using neural networks to identify and track endangered whale species to better protect them. Lea\xe2\x80\xa6'
