Label,Tweet_ID,Tweet,Screen_Name,Description,User_Location,Time,Geo_Enabled,Place,Lat,Long
,1098434082319536128,https://t.co/PBosCJJTrv,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-20 23:07:47,False,,,
,1098057665710907393,"@MoeSargi @MoeSargi hey moe, my name is jana. I wish i could meet u when u come to scranton, pa. I live 45 mins from there. Could u follow me on here?",EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-19 22:12:03,False,,,
,1098054596260442112,"@MoeSargi hey moe, my name is jana. I wish i could meet u when u come to scranton, pa. I live 45 mins from there.",EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-19 21:59:51,False,,,
,1096972951969247233,@MoeSargi @MoeSargi yes u should post them all. Absolutely love watchin ur videos.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-16 22:21:47,False,,,
,1093741315773399040,@dmasterflex000 Hi danny i agree with what ur saying but i have been diagnosed with depression but dont let it get me down.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-08 00:20:25,False,,,
,1093662607834300416,@MoeSargi @MoeSargi watchin my favorite show forensic files.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-07 19:07:39,False,,,
,1092707765443796992,Well that wasnt what i was expecting. I went to try and take a warm shower to warm up but the shower was ice cold. Ugh. #waterheaterproblems. https://t.co/A5c5SZdAON,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-05 03:53:27,False,,,
,1091496315891138560,@MoeSargi Sweet Moe. Wish i could watch ur new videos and other ones.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-01 19:39:35,False,,,
,1091493525190074368,"@cjfaison Such a cutie. I have 3 pitbulls @cjfaison nitrous is brindle, ninja is in the middle and buddy on right. https://t.co/CmLAB8cbc2",EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-01 19:28:30,False,,,
,1091491657214767108,@RealRiddimRyder Looks sweet,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-02-01 19:21:04,False,,,
,1089802065075949569,@ddoggVlogs I hope to be able to watch videos that u post on youtube soon.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-28 03:27:14,False,,,
,1089800839785533441,@ddoggVlogs Thats good ddoggVlogs. I dont post videos of my own but i know editing takes alot of time.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-28 03:22:22,False,,,
,1089780096406302721,@ddoggVlogs Nothin wrong with that.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-28 01:59:56,False,,,
,1089738537942036481,@MoeSargi Feel better soon @MoeSargi,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-27 23:14:48,False,,,
,1089345846641152000,@OmarGoshTV Feel better soon Omar,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 21:14:23,False,,,
,1089334013649670144,@MoeSargi Thats expensive Moe,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 20:27:22,False,,,
,1089258401312501760,@The_AliH That might be a lil awkward Ali,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 15:26:54,False,,,
,1089256392253456385,@MoeSargi Good luck Moe.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 15:18:55,False,,,
,1089184434534957056,@cjfaison @cjfaison  Nightmare by Avenged Sevenfold,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 10:32:59,False,,,
,1089078897159868417,@MoeSargi i absolutely love watchin ur videos and i think what u do and the places u go is amazing. Love this pic. Wish i could meet u and shadia. I hope u see my tweet.,EmmettJana,Im currently 26 and love to study cars and the paranormal and watch paranormal shows.,"Tunkhannock, PA",2019-01-26 03:33:37,False,,,
