Label,Tweet_ID,Tweet,Screen_Name,Description,User_Location,Time,Geo_Enabled,Place,Lat,Long
,1098761516235526144,People watch reality tv to see other people’s lives go up in flames,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 19:48:54,True,,,
,1098653202415783938,1 John 2:6,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 12:38:30,True,,,
,1098653008773169157,2 Corinthians 5:17,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 12:37:43,True,,,
,1098652901361307648,Titus2:9-10,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 12:37:18,True,,,
,1098600499639668737,"Feel like going back to bed, but I have too much to do.",OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 09:09:04,True,,,
,1098594589408137218,I pray to God for me to do more right and less wrong✝️🔯🛐🙏👆😇👼☦️🕍💒⛪️✡️🕎,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 08:45:35,True,,,
,1098550255019311104,My cousin and her husband are on tour with Franklin Graham,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-21 05:49:25,True,,,
,1098420865300119553,"My Lats are sore , worked them today",OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 21:15:16,True,,,
,1098399964428947456,When you lie to the police and it is found you lied it’s not going to end good,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 19:52:13,True,,,
,1098366988647362560,Having ulcerative colitis is no bueno in fact it stinks,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 17:41:11,True,,,
,1098358111344185344,@glv cousin Glenn just don’t freeze up.,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 17:05:54,True,,,
,1098293122201731079,"Always say “I can, I will, I shall” in everything you do😐",OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 12:47:40,True,,,
,1098278424576172032,Did not think I was very talented till I started singing in Halo choir,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 11:49:16,True,,,
,1098278142379261952,@Pink ever have people stop singing in choir to listen to you?,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 11:48:08,True,,,
,1098273201317208064,"People are like cats, they won’t use the litter box and they cannot be trained🤓☕️",OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 11:28:30,True,,,
,1098255664663707649,@donttrythis Adam why do people find fault with others and deny they are the cause of their own issues?,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 10:18:49,True,,,
,1098255334379016192,"Americans don’t realize how good it is here compared to anywhere else, count your blessings",OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 10:17:30,True,,,
,1098254703576735744,Genesis 48:1-12,OneMugManTwo,"Retired ,Southern Baptist and cat owner",Texarkana Texas,2019-02-20 10:15:00,True,,,
