Label,Tweet_ID,Tweet,Screen_Name,Description,User_Location,Time,Geo_Enabled,Place,Lat,Long
,1098768877318754306,11 people followed me and 3 people unfollowed me // automatically checked by https://t.co/phPca4DhNc,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-21 20:18:09,True,,,
,1098665907596021760,@itsayeeelivia I LOVE YOU!!! They’re gonna be the best lil baby/person with u as a mom ⭐️,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-21 13:28:59,True,,,
,1098664438952022016,"ONE OF MY BEST FRIENDS IS PREGNANT!

I love you so much Alivia, and I can’t wait to meet the lil bean! 💕💖 https://t.co/GyqfOM9mUG",karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-21 13:23:09,True,,,
,1098088096627863552,Bedroom pop is one of my favorite genres of music and I’m so happy Spotify has an entire playlist dedicated to it.,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-19 23:12:58,True,,,
,1097911378399121409,@meagxw That I’ve had a really shitty and stressful week,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-19 11:30:45,True,,,
,1097889337100902405,I really hate playing bad cop with people I’m friends with.,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-19 10:03:10,True,,,
,1097690325496352770,"My name is Me 
I was born to go on the outside 
My age is a bit high for me 
I like to the doctor who wants me https://t.co/biwtOxb6nx",karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 20:52:22,True,,,
,1097689955395125249,"*lightly sipping her second tequila and pineapple juice*

“I guess momma did raise a bitch.” - @hickoryfuckdbbq",karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 20:50:54,True,,,
,1097686502744690688,@meagxw 💕💕💕,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 20:37:10,True,,,
,1097677215402205185,By “on a Monday” I mean right now https://t.co/Hrx6DbypLJ,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 20:00:16,True,,,
,1097676447194451968,@meagxw they’ll have to fight me for you,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 19:57:13,True,,,
,1097674620218589185,"We goin’ to Wildwood on a Monday to celebrate my cool, awesome new job opportunity (that I hope I get) see y’all there",karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 19:49:57,True,,,
,1097670311686873090,7 people followed me and 4 people unfollowed me // automatically checked by https://t.co/phPca4DhNc,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-18 19:32:50,True,,,
,1096987869976162304,@fadedbrat @betherson152 thank u so much 😭💖,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 22:21:03,True,,,
,1096981979625590785,@fadedbrat @betherson152 you’re so sweet?!??!!! 💖💖💖,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 21:57:39,True,,,
,1096969899849728005,@betherson152 i love u 💕,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 21:09:39,True,,,
,1096954488764674049,............. https://t.co/QYFjYO6zwW,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 20:08:25,True,,,
,1096941245254062080,@len7weets https://t.co/lwLRKvktZ4,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 19:15:47,True,,,
,1096914414568120320,@buff__garfield omg??? ur so kind 💖💕,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 17:29:10,True,,,
,1096913163663101952,#NewProfilePic https://t.co/raCkYCZM0u,karahwilson15,"Karah • Virgo • 21 • UNA ‘19 • 🏳️‍🌈 • (Raunchie, I see you)","Florence, AL",2019-02-16 17:24:12,True,,,
