Label,Tweet_ID,Tweet,Screen_Name,Description,User_Location,Time,Geo_Enabled,Place,Lat,Long
,1098572465817767936,"In surprise testimony, candidate's son puts his hope for his children's future as Americans ahead of loyalty to his possibly corrupt father. John Harris is a hero. https://t.co/mVJzKsLGEv via @WRAL",stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-21 08:17:40,True,,,
,1098375327250857984,"@donttrythis totally agree! right, @Lilyspencer22 ? (Churchill Hotel, WDC) https://t.co/M94ENGo3FP",stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-20 19:14:19,True,,,
,1096246048023027713,@DextrousWolf heh?,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 22:13:19,True,,,
,1096157827658379264,"@EthanTMarston shrugs, scratches bald head wistfully",stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 16:22:46,True,,,
,1096075756738957312,@kristinclift @Swilua @Papa_Ostler I don't have their tax returns but I doubt they're rich enough to truly benefit from Trump. Right? Aren't his policies best for the super rich not just the upper middle class?,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 10:56:39,True,,,
,1096062794099773440,@Swilua @pepbarca oh no. the universe is out of balance,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 10:05:08,True,,,
,1096058513544175617,@chrisalbon @_cingraham and direction. also somehow slippery-er,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 09:48:08,True,,,
,1096046980156059648,Our biggest fans this week: @pepbarca. Thank you! via https://t.co/ESIRHSiTVG https://t.co/4K2sGU759Q,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 09:02:18,True,,,
,1096027808642551808,@Swilua @mfadonohue just out of character for you I thought. but it was fun when I played it for a few weeks two years ago. why not!?,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 07:46:07,True,,,
,1096007637097947136,@Swilua @mfadonohue whut! omg this shocked me,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-14 06:25:58,True,,,
,1095690875244593152,Wowza. productive dreams https://t.co/YTh4mzWGOx,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-13 09:27:16,True,,,
,1095674386768715776,hi there @DextrousWolf... read this https://t.co/fGCZqr2lmZ,stevejspencer,Mktg/finance MBA and media/ad/content pro. 🏳️‍🌈 Proud single dad/coparent of 2 teens. Fanboy. Carto/Vexillo/Aero/Archi-nerd. Speak only 4 self. RT🚫👍.,"Baltimore, MD",2019-02-13 08:21:45,True,,,
